contamination,query_genus,target_genus,,I# query,I# target,query_seq,target_seq,,%similar,length of match (bp),tlength,qlength,mismatch,gapopen, qstart ,qend ,,tstart ,tend ,,evalue,note 
,Colocharis,Pseudometagea,,I12647,I21631,L625_MERG00097_0101_SUPERCONTIG,L626_MERG00101_0101_SUPERCONTIG,.,96.34,82,849,1080,3,0,113,194,,1,82,,4.00E-30,betweenloci
,Colocharis,Pseudometagea,,I12647,I21631,L914_MERG00097_0101_SUPERCONTIG,L916_MERG00101_0101_SUPERCONTIG,.,95.24,1009,1286,1508,46,2,436,1443,,157,1164,,0.0,betweenloci
,Colocharis,Pseudometagea,,I12647,I21631,L914_MERG00097_0101_SUPERCONTIG,L916_MERG00101_0101_SUPERCONTIG,.,98.70,77,1286,1508,1,0,1432,1508,,235,311,,1.00E-30,betweenloci
,Colocharis,Pseudometagea,,I12647,I21631,L917_MERG00097_0101_SUPERCONTIG,L916_MERG00101_0101_SUPERCONTIG,.,95.64,825,1286,995,36,0,171,995,,235,1059,,0.0,betweenloci
,Colocharis,Pseudometagea,,I12647,I21631,L9_MERG00097_0101_SUPERCONTIG,L8_MERG00101_0101_SUPERCONTIG,.,96.10,77,1153,414,3,0,338,414,,551,627,,8.00E-28,betweenloci
,Colocharis,Pseudometagea,,I12647,I21631,L580_MERG00097_0101_SUPERCONTIG,L580_MERG00101_0101_SUPERCONTIG,.,98.18,55,1386,1406,1,0,1,55,,669,615,,3.00E-21,withinloci
,Colocharis,Pseudometagea,,I12647,I21631,L778_MERG00097_0101_SUPERCONTIG,L778_MERG00101_0101_SUPERCONTIG,.,96.67,60,1317,332,2,0,273,332,,635,694,,4.00E-23,withinloci
,Colocharis,Pseudometagea,,I12647,I21631,L915_MERG00097_0101_SUPERCONTIG,L915_MERG00101_0101_SUPERCONTIG,.,96.44,730,1160,730,26,0,1,730,,244,973,,0.0,withinloci
,Colocharis,Pseudometagea,,I12647,I21631,L917_MERG00097_0101_SUPERCONTIG,L917_MERG00101_0101_SUPERCONTIG,.,95.41,763,1298,995,35,0,233,995,,1,763,,0.0,withinloci
,Colocharis,Schizaspidia,,I12647,I16352,L143_MERG00097_0101_SUPERCONTIG,L142_MERG00103_0101_SUPERCONTIG,.,96.10,77,1274,1186,3,0,1110,1186,,880,804,,2.00E-27,betweenloci
,Colocharis,Schizaspidia,,I12647,I16352,L195_MERG00097_0101_SUPERCONTIG,L196_MERG00103_0101_SUPERCONTIG,.,97.50,80,1256,1164,2,0,1083,1162,,359,280,,1.00E-30,betweenloci
,Colocharis,Schizaspidia,,I12647,I16352,L198_MERG00097_0101_SUPERCONTIG,L197_MERG00103_0101_SUPERCONTIG,.,95.10,143,1076,164,6,1,1,143,,891,1032,,1.00E-57,betweenloci
,Colocharis,Schizaspidia,,I12647,I16352,L223_MERG00097_0101_SUPERCONTIG,L222_MERG00103_0101_SUPERCONTIG,.,97.40,77,903,1359,2,0,1283,1359,,642,718,,6.00E-29,betweenloci
,Colocharis,Schizaspidia,,I12647,I16352,L385_MERG00097_0101_SUPERCONTIG,L386_MERG00103_0101_SUPERCONTIG,.,97.37,76,996,2147,2,0,2,77,,450,375,,3.00E-28,betweenloci
,Colocharis,Schizaspidia,,I12647,I16352,L446_MERG00097_0101_SUPERCONTIG,L444_MERG00103_0101_SUPERCONTIG,.,97.66,171,1496,462,4,0,292,462,,752,582,,2.00E-78,betweenloci
,Colocharis,Schizaspidia,,I12647,I16352,L44_MERG00097_0101_SUPERCONTIG,L45_MERG00103_0101_SUPERCONTIG,.,96.05,329,1304,950,13,0,622,950,,1,329,,7.00E-151,betweenloci
,Colocharis,Schizaspidia,,I12647,I16352,L9_MERG00097_0101_SUPERCONTIG,L8_MERG00103_0101_SUPERCONTIG,.,96.10,77,1470,414,3,0,338,414,,796,872,,8.00E-28,betweenloci
,Colocharis,Timioderus,,I12647,I9733,L422_MERG00097_0101_SUPERCONTIG,L421_MERG00109_0101_SUPERCONTIG,.,95.91,220,1017,1099,9,0,490,709,,681,900,,7.00E-97,betweenloci
,Colocharis,Timioderus,,I12647,I9733,L422_MERG00097_0101_SUPERCONTIG,L421_MERG00109_0101_SUPERCONTIG,.,96.45,141,1017,1099,4,1,179,319,,410,549,,4.00E-59,betweenloci
,Colotrechnus,Cameronella,,I21681,I29057,L571_MERG00266_0101_SUPERCONTIG,L572_MERG00265_0101_SUPERCONTIG,.,96.00,150,1038,1054,5,1,616,765,,1,149,,2.00E-62,betweenloci
,Colotrechnus,Cameronella,,I21681,I29057,L629_MERG00266_0101_SUPERCONTIG,L628_MERG00265_0101_SUPERCONTIG,.,96.83,221,564,989,7,0,32,252,,344,564,,8.00E-101,betweenloci
,Colotrechnus,Cameronella,,I21681,I29057,L1007_MERG00266_0101_SUPERCONTIG,L1007_MERG00265_0101_SUPERCONTIG,.,96.45,197,401,810,7,0,28,224,,72,268,,1.00E-90,withinloci
,Colotrechnus,Cameronella,,I21681,I29057,L768_MERG00266_0101_SUPERCONTIG,L768_MERG00265_0101_SUPERCONTIG,.,97.77,224,861,1609,5,0,327,550,,1,224,,1.00E-108,withinloci
,Colotrechnus,Coruna,,I21681,I21952,L359_MERG00266_0101_SUPERCONTIG,L362_MERG00345_0101_SUPERCONTIG,.,95.87,218,1304,1511,9,0,1294,1511,,237,454,,1.00E-95,betweenloci
,Colotrechnus,nr Bofuria,,I21681,I24041,L568_MERG00266_0101_SUPERCONTIG,L568_MERG00264_0101_SUPERCONTIG,.,100.00,60,858,1338,0,0,742,801,,60,1,,7.00E-26,withinloci
,Colotrechnus,Orasema,,I21681,I21723,L790_MERG00266_0101_SUPERCONTIG,L791_MERG00108_0101_SUPERCONTIG,.,97.01,301,1325,306,8,1,3,303,,173,472,,6.00E-142,betweenloci
,Colotrechnus,Orasema,,I21681,I21723,L185_MERG00266_0101_SUPERCONTIG,L185_MERG00108_0101_SUPERCONTIG,.,96.42,279,734,373,10,0,1,279,,413,691,,1.00E-131,withinloci
,Colotrechnus,Orasema,,I21681,I21723,L790_MERG00266_0101_SUPERCONTIG,L790_MERG00108_0101_SUPERCONTIG,.,97.01,301,1172,306,8,1,3,303,,360,659,,4.00E-145,withinloci
,Colotrechnus,Pseudidarnes,,I21681,I29052,L359_MERG00266_0101_SUPERCONTIG,L362_MERG00010_0101_SUPERCONTIG,.,95.41,218,1188,1511,10,0,1294,1511,,203,420,,6.00E-94,betweenloci
,Colotrechnus,Pseudometagea,,I21681,I21631,L57_MERG00266_0101_SUPERCONTIG,L56_MERG00101_0101_SUPERCONTIG,.,99.72,358,1425,379,1,0,1,358,,1068,1425,,0.0,betweenloci
,Colotrechnus,Pseudometagea,,I21681,I21631,L57_MERG00266_0101_SUPERCONTIG,L57_MERG00101_0101_SUPERCONTIG,.,99.74,379,1416,379,1,0,1,379,,580,958,,0.0,withinloci
,Colotrechnus,Trisecodes,,I21681,I28963,L46_MERG00266_0101_SUPERCONTIG,L46_MERG00130_0101_SUPERCONTIG,.,95.57,203,425,530,9,0,75,277,,54,256,,8.00E-91,withinloci
,Conura,Chalcis,,I21694,I26423,L152_MERG00060_0101_SUPERCONTIG,L153_MERG00059_0101_SUPERCONTIG,.,95.35,452,1675,1067,21,0,502,953,,65,516,,0.0,betweenloci
,Conura,Chalcis,,I21694,I26423,L22_MERG00060_0101_SUPERCONTIG,L23_MERG00059_0101_SUPERCONTIG,.,95.85,193,1412,1133,8,0,941,1133,,662,854,,2.00E-83,betweenloci
,Conura,Chalcis,,I21694,I26423,L236_MERG00060_0101_SUPERCONTIG,L235_MERG00059_0101_SUPERCONTIG,.,95.11,532,857,1333,26,0,386,917,,326,857,,0.0,betweenloci
,Conura,Chalcis,,I21694,I26423,L316_MERG00060_0101_SUPERCONTIG,L315_MERG00059_0101_SUPERCONTIG,.,95.20,125,1030,1162,6,0,874,998,,906,1030,,5.00E-49,betweenloci
,Conura,Chalcis,,I21694,I26423,L558_MERG00060_0101_SUPERCONTIG,L559_MERG00059_0101_SUPERCONTIG,.,95.25,421,1597,1822,20,0,1402,1822,,632,1052,,0.0,betweenloci
,Conura,Chalcis,,I21694,I26423,L558_MERG00060_0101_SUPERCONTIG,L559_MERG00059_0101_SUPERCONTIG,.,95.52,581,1597,1822,26,0,725,1305,,1,581,,0.0,betweenloci
,Conura,Chalcis,,I21694,I26423,L617_MERG00060_0101_SUPERCONTIG,L616_MERG00059_0101_SUPERCONTIG,.,95.99,823,1475,1134,32,1,1,823,,235,1056,,0.0,betweenloci
,Conura,Chalcis,,I21694,I26423,L254_MERG00060_0101_SUPERCONTIG,L254_MERG00059_0101_SUPERCONTIG,.,96.61,383,3942,3926,12,1,1,383,,198,579,,0.0,withinloci
,Conura,Chalcis,,I21694,I26423,L254_MERG00060_0101_SUPERCONTIG,L254_MERG00059_0101_SUPERCONTIG,.,96.61,383,3942,3926,12,1,1,383,,2169,2550,,0.0,withinloci
,Conura,Chalcis,,I21694,I26423,L254_MERG00060_0101_SUPERCONTIG,L254_MERG00059_0101_SUPERCONTIG,.,96.61,383,3942,3926,12,1,1964,2346,,198,579,,0.0,withinloci
,Conura,Chalcis,,I21694,I26423,L254_MERG00060_0101_SUPERCONTIG,L254_MERG00059_0101_SUPERCONTIG,.,96.61,383,3942,3926,12,1,1964,2346,,2169,2550,,0.0,withinloci
,Conura,Chalcis,,I21694,I26423,L269_MERG00060_0101_SUPERCONTIG,L269_MERG00059_0101_SUPERCONTIG,.,95.80,333,1542,1444,14,0,117,449,,1,333,,4.00E-154,withinloci
,Conura,Chalcis,,I21694,I26423,L438_MERG00060_0101_SUPERCONTIG,L438_MERG00059_0101_SUPERCONTIG,.,95.36,733,1105,791,29,2,55,787,,378,1105,,0.0,withinloci
,Conura,Chalcis,,I21694,I26423,L456_MERG00060_0101_SUPERCONTIG,L456_MERG00059_0101_SUPERCONTIG,.,95.31,1045,1044,1080,46,2,31,1073,,1,1044,,0.0,withinloci
,Conura,Chalcis,,I21694,I26423,L463_MERG00060_0101_SUPERCONTIG,L463_MERG00059_0101_SUPERCONTIG,.,96.25,267,2764,3106,10,0,1757,2023,,1,267,,2.00E-123,withinloci
,Conura,Chalcis,,I21694,I26423,L463_MERG00060_0101_SUPERCONTIG,L463_MERG00059_0101_SUPERCONTIG,.,96.25,267,2764,3106,10,0,1757,2023,,1383,1649,,2.00E-123,withinloci
,Conura,Chalcis,,I21694,I26423,L463_MERG00060_0101_SUPERCONTIG,L463_MERG00059_0101_SUPERCONTIG,.,96.25,267,2764,3106,10,0,204,470,,1,267,,2.00E-123,withinloci
,Conura,Chalcis,,I21694,I26423,L463_MERG00060_0101_SUPERCONTIG,L463_MERG00059_0101_SUPERCONTIG,.,96.25,267,2764,3106,10,0,204,470,,1383,1649,,2.00E-123,withinloci
,Conura,Chalcis,,I21694,I26423,L559_MERG00060_0101_SUPERCONTIG,L559_MERG00059_0101_SUPERCONTIG,.,96.76,401,1597,1588,13,0,1,401,,181,581,,0.0,withinloci
,Conura,Chalcis,,I21694,I26423,L568_MERG00060_0101_SUPERCONTIG,L568_MERG00059_0101_SUPERCONTIG,.,96.70,364,1332,1429,12,0,646,1009,,426,789,,8.00E-175,withinloci
,Conura,Chalcis,,I21694,I26423,L616_MERG00060_0101_SUPERCONTIG,L616_MERG00059_0101_SUPERCONTIG,.,96.02,1054,1475,1339,40,2,109,1161,,4,1056,,0.0,withinloci
,Conura,Chalcis,,I21694,I26423,L741_MERG00060_0101_SUPERCONTIG,L741_MERG00059_0101_SUPERCONTIG,.,97.26,73,701,1497,2,0,1310,1382,,627,699,,1.00E-29,withinloci
,Conura,Chalcis,,I21694,I26423,L924_MERG00060_0101_SUPERCONTIG,L924_MERG00059_0101_SUPERCONTIG,.,95.71,560,674,964,19,3,316,871,,110,668,,0.0,withinloci
,Conura,Chalcis,,I21694,I26423,L941_MERG00060_0101_SUPERCONTIG,L941_MERG00059_0101_SUPERCONTIG,.,95.54,112,1215,1225,5,0,1093,1204,,1104,1215,,1.00E-46,withinloci
,Conura,Epitranus,,I21694,I23208,L500_MERG00060_0101_SUPERCONTIG,L501_MERG00067_0101_SUPERCONTIG,.,95.04,141,1337,1190,7,0,599,739,,104,244,,3.00E-56,betweenloci
,Conura,Idioporus,,I21694,I26403,L725_MERG00060_0101_SUPERCONTIG,L726_MERG00285_0101_SUPERCONTIG,.,95.61,205,1193,943,9,0,538,742,,249,453,,1.00E-88,betweenloci
,Conura,Melanosmicra,,I21694,I21662,L359_MERG00060_0101_SUPERCONTIG,L362_MERG00062_0101_SUPERCONTIG,.,95.49,266,1169,1260,11,1,991,1256,,1,265,,8.00E-117,betweenloci
,Conura,Melanosmicra,,I21694,I21662,L510_MERG00060_0101_SUPERCONTIG,L511_MERG00062_0101_SUPERCONTIG,.,95.59,204,839,1235,9,0,1007,1210,,564,767,,6.00E-88,betweenloci
,Conura,Melanosmicra,,I21694,I21662,L510_MERG00060_0101_SUPERCONTIG,L511_MERG00062_0101_SUPERCONTIG,.,96.00,425,839,1235,17,0,478,902,,1,425,,0.0,betweenloci
,Conura,Melanosmicra,,I21694,I21662,L616_MERG00060_0101_SUPERCONTIG,L617_MERG00062_0101_SUPERCONTIG,.,95.30,724,813,1339,34,0,420,1143,,1,724,,0.0,betweenloci
,Conura,Melanosmicra,,I21694,I21662,L359_MERG00060_0101_SUPERCONTIG,L359_MERG00062_0101_SUPERCONTIG,.,95.22,293,1045,1260,13,1,964,1256,,717,1008,,1.00E-131,withinloci
,Conura,Melanosmicra,,I21694,I21662,L511_MERG00060_0101_SUPERCONTIG,L511_MERG00062_0101_SUPERCONTIG,.,96.00,425,839,916,17,0,108,532,,1,425,,0.0,withinloci
,Conura,Melanosmicra,,I21694,I21662,L617_MERG00060_0101_SUPERCONTIG,L617_MERG00062_0101_SUPERCONTIG,.,95.30,724,813,1134,34,0,82,805,,1,724,,0.0,withinloci
,Coptera,Buresium,,I24044,I26400,L355_MERG00409_0101_SUPERCONTIG,L497_MERG00159_0101_SUPERCONTIG,.,98.59,71,342,308,1,0,1,71,,4,74,,6.00E-28,betweenloci
,Coptera,Chalcedectus,,I24044,I24038,L552_MERG00409_0101_SUPERCONTIG,L551_MERG00244_0101_SUPERCONTIG,.,100.00,295,894,295,0,0,1,295,,566,860,,4.00E-154,betweenloci
,Coptera,Chalcedectus,,I24044,I24038,L552_MERG00409_0101_SUPERCONTIG,L552_MERG00244_0101_SUPERCONTIG,.,99.66,295,769,295,1,0,1,295,,174,468,,1.00E-155,withinloci
,Coptera,Echthrodape,,I24044,I26429,L20_MERG00409_0101_SUPERCONTIG,L1036_MERG00374_0101_SUPERCONTIG,.,96.15,78,1301,794,3,0,717,794,,1224,1301,,4.00E-28,betweenloci
,Coptera,Micradelus,,I24044,I24035,L473_MERG00409_0101_SUPERCONTIG,L971_MERG00298_0101_SUPERCONTIG,.,98.36,61,586,680,1,0,1,61,,15,75,,5.00E-22,betweenloci
,Coptera,Stypiura,,I24044,I21670,L355_MERG00409_0101_SUPERCONTIG,L542_MERG00063_0101_SUPERCONTIG,.,100.00,68,424,308,0,0,1,68,,3,70,,6.00E-28,betweenloci
,Coptera,Yrka,,I24044,I24045,L611_MERG00409_0101_SUPERCONTIG,L611_MERG00262_0101_SUPERCONTIG,.,99.39,328,328,469,2,0,129,456,,1,328,,6.00E-172,withinloci
,Coptera,Zaischnopsis,,I24044,I24011,L473_MERG00409_0101_SUPERCONTIG,L529_MERG00152_0101_SUPERCONTIG,.,100.00,59,756,680,0,0,1,59,,15,73,,1.00E-22,betweenloci
,Coruna,Dibrachys,,I21952,I21922,L368_MERG00345_0101_SUPERCONTIG,L368_MERG00332_0101_SUPERCONTIG,.,95.83,120,1449,1268,5,0,3,122,,233,352,,6.00E-51,withinloci
,Coruna,Dibrachys,,I21952,I21922,L368_MERG00345_0101_SUPERCONTIG,L368_MERG00332_0101_SUPERCONTIG,.,95.89,219,1449,1268,7,2,1052,1268,,1116,1334,,1.00E-98,withinloci
,Coruna,Dibrachys,,I21952,I21922,L369_MERG00345_0101_SUPERCONTIG,L369_MERG00332_0101_SUPERCONTIG,.,96.75,338,1270,1188,7,4,855,1188,,826,1163,,5.00E-161,withinloci
,Coruna,Habritys,,I21952,I21959,L362_MERG00345_0101_SUPERCONTIG,L359_MERG00334_0101_SUPERCONTIG,.,95.21,146,1114,1304,7,0,543,688,,966,1111,,5.00E-59,betweenloci
,Coruna,Habritys,,I21952,I21959,L363_MERG00345_0101_SUPERCONTIG,L364_MERG00334_0101_SUPERCONTIG,.,97.30,74,2149,2083,2,0,2009,2082,,1055,1128,,4.00E-27,betweenloci
,Coruna,Habritys,,I21952,I21959,L46_MERG00345_0101_SUPERCONTIG,L47_MERG00334_0101_SUPERCONTIG,.,96.62,207,1244,1011,6,1,431,637,,230,435,,2.00E-92,betweenloci
,Coruna,Habritys,,I21952,I21959,L359_MERG00345_0101_SUPERCONTIG,L359_MERG00334_0101_SUPERCONTIG,.,95.21,146,1114,1111,7,0,849,994,,966,1111,,3.00E-62,withinloci
,Coruna,Homoporus,,I21952,I21919,L460_MERG00345_0101_SUPERCONTIG,L460_MERG00336_0101_SUPERCONTIG,.,95.88,97,1129,1329,3,1,182,277,,2,98,,4.00E-39,withinloci
,Coruna,Homoporus,,I21952,I21919,L570_MERG00345_0101_SUPERCONTIG,L570_MERG00336_0101_SUPERCONTIG,.,96.59,88,1050,1186,3,0,1009,1096,,963,1050,,2.00E-36,withinloci
,Coruna,Megastigmus,,I21952,I23231,L40_MERG00345_0101_SUPERCONTIG,L40_MERG00185_0101_SUPERCONTIG,.,95.05,384,1734,1508,19,0,1125,1508,,1211,1594,,4.00E-174,withinloci
,Coruna,Nodisoplata,,I21952,I21956,L437_MERG00345_0101_SUPERCONTIG,L436_MERG00306_0101_SUPERCONTIG,.,95.04,343,970,1408,17,0,663,1005,,623,965,,8.00E-152,betweenloci
,Coruna,Nodisoplata,,I21952,I21956,L437_MERG00345_0101_SUPERCONTIG,L437_MERG00306_0101_SUPERCONTIG,.,95.04,343,1346,1408,17,0,663,1005,,636,978,,7.00E-155,withinloci
,Coruna,Ormocerus,,I21952,I24033,L111_MERG00345_0101_SUPERCONTIG,L111_MERG00318_0101_SUPERCONTIG,.,95.44,241,763,1145,11,0,395,635,,251,491,,3.00E-108,withinloci
,Coruna,Pteromalus,,I21952,I23232,L337_MERG00345_0101_SUPERCONTIG,L337_MERG00342_0101_SUPERCONTIG,.,96.13,310,1179,771,11,1,351,659,,496,805,,2.00E-144,withinloci
,Coruna,Pteromalus,,I21952,I23232,L761_MERG00345_0101_SUPERCONTIG,L761_MERG00342_0101_SUPERCONTIG,.,95.71,70,1249,1010,3,0,941,1010,,891,960,,1.00E-26,withinloci
,Coruna,Pteromalus,,I21952,I23232,L911_MERG00345_0101_SUPERCONTIG,L911_MERG00342_0101_SUPERCONTIG,.,98.21,56,1553,1276,1,0,1221,1276,,1277,1332,,6.00E-22,withinloci
,Coruna,Pteromalus,,I21952,I23232,L921_MERG00345_0101_SUPERCONTIG,L921_MERG00342_0101_SUPERCONTIG,.,95.96,99,1136,1087,2,2,38,136,,73,169,,2.00E-40,withinloci
,Coruna,Walkerella,,I21952,I21929,L46_MERG00345_0101_SUPERCONTIG,L47_MERG00325_0101_SUPERCONTIG,.,95.54,202,1495,1011,9,0,437,638,,115,316,,7.00E-87,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L145_MERG00061_0101_SUPERCONTIG,L146_MERG00055_0101_SUPERCONTIG,.,95.59,749,852,1101,33,0,351,1099,,1,749,,0.0,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L421_MERG00061_0101_SUPERCONTIG,L422_MERG00055_0101_SUPERCONTIG,.,97.49,517,792,939,13,0,409,925,,24,540,,0.0,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L422_MERG00061_0101_SUPERCONTIG,L421_MERG00055_0101_SUPERCONTIG,.,97.84,509,739,1138,11,0,249,757,,231,739,,0.0,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L709_MERG00061_0101_SUPERCONTIG,L710_MERG00055_0101_SUPERCONTIG,.,96.90,258,760,518,7,1,254,511,,5,261,,2.00E-119,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L710_MERG00061_0101_SUPERCONTIG,L709_MERG00055_0101_SUPERCONTIG,.,95.02,221,767,525,9,2,29,248,,509,728,,7.00E-94,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L745_MERG00061_0101_SUPERCONTIG,L744_MERG00055_0101_SUPERCONTIG,.,97.78,135,762,820,3,0,1,135,,101,235,,9.00E-60,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L75_MERG00061_0101_SUPERCONTIG,L76_MERG00055_0101_SUPERCONTIG,.,95.26,822,2392,1410,36,2,589,1410,,1197,2015,,0.0,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L75_MERG00061_0101_SUPERCONTIG,L76_MERG00055_0101_SUPERCONTIG,.,95.26,822,2392,1410,36,2,589,1410,,1,819,,0.0,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L77_MERG00061_0101_SUPERCONTIG,L76_MERG00055_0101_SUPERCONTIG,.,96.45,141,2392,491,4,1,40,180,,1057,1196,,2.00E-59,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L77_MERG00061_0101_SUPERCONTIG,L76_MERG00055_0101_SUPERCONTIG,.,96.45,141,2392,491,4,1,40,180,,2253,2392,,2.00E-59,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L960_MERG00061_0101_SUPERCONTIG,L961_MERG00055_0101_SUPERCONTIG,.,95.79,475,772,944,20,0,410,884,,1,475,,0.0,betweenloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L1012_MERG00061_0101_SUPERCONTIG,L1012_MERG00055_0101_SUPERCONTIG,.,97.54,122,913,710,3,0,589,710,,759,880,,2.00E-55,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L149_MERG00061_0101_SUPERCONTIG,L149_MERG00055_0101_SUPERCONTIG,.,95.42,131,855,971,6,0,841,971,,693,823,,2.00E-55,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L172_MERG00061_0101_SUPERCONTIG,L172_MERG00055_0101_SUPERCONTIG,.,95.09,163,716,838,8,0,1,163,,28,190,,3.00E-70,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L231_MERG00061_0101_SUPERCONTIG,L231_MERG00055_0101_SUPERCONTIG,.,95.67,231,707,920,10,0,372,602,,203,433,,2.00E-104,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L234_MERG00061_0101_SUPERCONTIG,L234_MERG00055_0101_SUPERCONTIG,.,95.01,601,839,703,29,1,1,601,,240,839,,0.0,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L310_MERG00061_0101_SUPERCONTIG,L310_MERG00055_0101_SUPERCONTIG,.,95.16,62,821,999,3,0,104,165,,1,62,,5.00E-22,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L362_MERG00061_0101_SUPERCONTIG,L362_MERG00055_0101_SUPERCONTIG,.,98.06,155,853,1423,3,0,680,834,,358,512,,1.00E-73,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L377_MERG00061_0101_SUPERCONTIG,L377_MERG00055_0101_SUPERCONTIG,.,96.00,200,2027,4640,8,0,194,393,,3,202,,2.00E-89,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L377_MERG00061_0101_SUPERCONTIG,L377_MERG00055_0101_SUPERCONTIG,.,96.00,200,2027,4640,8,0,2514,2713,,3,202,,2.00E-89,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L411_MERG00061_0101_SUPERCONTIG,L411_MERG00055_0101_SUPERCONTIG,.,97.33,75,730,867,2,0,396,470,,3,77,,4.00E-31,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L421_MERG00061_0101_SUPERCONTIG,L421_MERG00055_0101_SUPERCONTIG,.,97.84,509,739,939,11,0,409,917,,231,739,,0.0,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L422_MERG00061_0101_SUPERCONTIG,L422_MERG00055_0101_SUPERCONTIG,.,97.49,517,792,1138,13,0,249,765,,24,540,,0.0,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L502_MERG00061_0101_SUPERCONTIG,L502_MERG00055_0101_SUPERCONTIG,.,95.94,345,957,1099,14,0,435,779,,345,689,,5.00E-161,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L506_MERG00061_0101_SUPERCONTIG,L506_MERG00055_0101_SUPERCONTIG,.,95.90,293,804,1043,11,1,340,631,,262,554,,6.00E-135,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L517_MERG00061_0101_SUPERCONTIG,L517_MERG00055_0101_SUPERCONTIG,.,96.06,736,785,788,29,0,42,777,,50,785,,0.0,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L541_MERG00061_0101_SUPERCONTIG,L541_MERG00055_0101_SUPERCONTIG,.,97.40,77,963,1016,2,0,1,77,,497,421,,4.00E-32,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L568_MERG00061_0101_SUPERCONTIG,L568_MERG00055_0101_SUPERCONTIG,.,97.81,366,942,972,8,0,421,786,,297,662,,0.0,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L635_MERG00061_0101_SUPERCONTIG,L635_MERG00055_0101_SUPERCONTIG,.,97.08,137,810,931,3,1,755,891,,673,808,,1.00E-61,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L667_MERG00061_0101_SUPERCONTIG,L667_MERG00055_0101_SUPERCONTIG,.,95.05,101,763,915,4,1,188,288,,2,101,,6.00E-40,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L744_MERG00061_0101_SUPERCONTIG,L744_MERG00055_0101_SUPERCONTIG,.,95.35,215,762,954,10,0,164,378,,21,235,,1.00E-95,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L869_MERG00061_0101_SUPERCONTIG,L869_MERG00055_0101_SUPERCONTIG,.,95.24,147,1000,1201,7,0,13,159,,1,147,,2.00E-62,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L904_MERG00061_0101_SUPERCONTIG,L904_MERG00055_0101_SUPERCONTIG,.,97.03,101,1102,1167,3,0,1,101,,74,174,,1.00E-43,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L924_MERG00061_0101_SUPERCONTIG,L924_MERG00055_0101_SUPERCONTIG,.,96.69,483,728,801,15,1,316,798,,214,695,,0.0,withinloci
,Cratocentrus,Acanthochalcis,,I23233,I23977,L985_MERG00061_0101_SUPERCONTIG,L985_MERG00055_0101_SUPERCONTIG,.,96.83,63,968,1078,2,0,1016,1078,,899,961,,4.00E-24,withinloci
,Cratocentrus,Coruna,,I23233,I21952,L362_MERG00061_0101_SUPERCONTIG,L359_MERG00345_0101_SUPERCONTIG,.,95.63,183,1111,1423,8,0,402,584,,858,1040,,7.00E-78,betweenloci
,Cratocentrus,Epistenia,,I23233,I23214,L709_MERG00061_0101_SUPERCONTIG,L710_MERG00246_0101_SUPERCONTIG,.,95.74,235,1049,518,10,0,251,485,,93,327,,7.00E-104,betweenloci
,Cratocentrus,Megastigmus,,I23233,I23231,L481_MERG00061_0101_SUPERCONTIG,L480_MERG00185_0101_SUPERCONTIG,.,95.77,213,1564,946,9,0,424,636,,1071,1283,,5.00E-93,betweenloci
